text,tagged_sentence,label
"The State alleged they hacked Sabata Petros Chale, 39,  to death</effect> in Marikana West,   on December 8 2016,  allegedly over the allocation of low-cost (RDP) houses at Marikana West Extension 2","<effect> The State alleged they hacked Sabata Petros Chale, 39,  to death</effect> in Marikana West,   <trigger>on December 8 2016</trigger>,  <cause>allegedly over the allocation of low-cost (RDP) houses at Marikana West Extension 2</cause>.",1
"Chale was allegedly chased by a group of about 30 people and was hacked to death with pangas , axes and spears .", NoTag,0
His attackers allegedly drank his blood ., NoTag,0
"Tip asked Mathunjwa why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .",NoTag,0
It the protest was something which happened outside the labour structures ., NoTag,0
Police opened fire  killing 34 striking workers  and wounding 78 while trying to disperse a group gathered on a hill near Lonmin's platinum mine in Marikana on August 16.," <cause>Police opened fire</cause>,  <effect>killing 34 striking workers</effect> and <effect>wounding 78</effect> while trying <trigger>to disperse a group gathered on a hill near Lonmin's platinum mine</trigger> in Marikana <trigger>on August 16</trigger>.",1
"The three-member Farlam Commission , chaired by retired judge Ian Farlam , was established by President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests ."," <cause>The three-member Farlam Commission</cause>,  was established by President Jacob Zuma <effect>to probe into the violence</effect> and <effect>to investigate the deaths of 44 people</effect> in wage-related protests.",1
Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area ., Lt-Col Andre Traut said <cause>the teenager laid the complaint</cause> at the Robertson police station <effect>following a farmworkers' protest</effect> in the area.,1
Table grape harvesters started protesting about their working conditions in De Doorns last month ., NoTag,0
The protests spread to 15 other towns and resulted in two deaths and the destruction of property ., <cause>The protests spread to 15 other towns</cause> and <effect>resulted in two deaths</effect> and <effect>the destruction of property</effect>.,1
The farmworkers ' strike resumed on Tuesday when their demands were not met ., <cause>Their demands were not met</cause>  so <effect>the farmworkers' strike resumed on Tuesday</effect>.,1
"NHAI Case : Cops Fail to Produce Accused in Court 10th September 2015 03:49 AM KOCHI : Anoop George , the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery , could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday , after jail authorities in Coimbatore failed to arrange escort for him .","NHAI Case: Cops Fail to Produce Accused in Court 10th September 2015 03:49 AM KOCHI: Anoop George, the main accused in the case related to the attack on the office of the National Highway Authority of India (NHAI) at Kalamassery, <effect>could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday</effect>, <trigger>after</trigger> <cause>jail authorities in Coimbatore failed to arrange escort for him</cause>.",1
It was in January this year a group of persons attacked the NHAI office at Kalamassery and distributed notices supporting armed revolt against the government .,NoTag,0
Both Anoop and Ramanan are also accused in the case related to attack on the Nitta Gelatin office at Panampilly Nagar last year .,NoTag,0
VS condemns attack on NSS Karayogams 08th May 2011 05:00 AM THIRUVANANTHAPURAM : Chief Minister V S Achuthanandan has condemned the recent attacks on NSS Karayogams ., NoTag,0
"When asked about the series of attacks on Karayogams , he said that such attacks could not be entertained .", NoTag,0
"The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram after NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections , as it did not want Achuthanandan to come back to power for another term .","<cause>The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram</cause> <effect>because the NSS <trigger>did not support </trigger> the LDF in the recent Assembly elections</effect>, <trigger>as it did not want</trigger> <effect>Achuthanandan to come back to power for another term</effect>.",1
The attack on Karayogams had sparked sharp reactions from the CPM leaders .,<cause>The attack on Karayogams</cause> <trigger>had sparked</trigger> <effect>sharp reactions from the CPM leaders</effect>.,1
`` I am going to argue your evidence that strikers at Marikana in August 2012 attacked the police should be kicked out .,NoTag,0
"Mpofu said Lt-Col Kaizer Modiba was fabricating his evidence because he had not been in a position to witness an attack about the violence during the mineworkers' strike at Marikana, near Rustenburg in the North West","<cause>Mpofu said Lt-Col Kaizer Modiba was fabricating his evidence</cause> <trigger>because</trigger> <effect>he had not been in a position to witness an attack</effect> <trigger>about</trigger> <effect>the violence during the mineworkers' strike at Marikana, near Rustenburg in the North West</effect>",1
"I observed the attack on the police , I have no doubt about it , '' Modiba said during cross-examination .",<cause>Modiba said</cause> <trigger>during cross-examination</trigger> <effect>that he observed the attack on the police and had no doubt about it</effect>,1
He said he was about 100 metres away when he witnessed the attack .,NoTag,0
"Modiba said he saw the aggressive strikers running alongside a police Nyala , charging at police .",NoTag,0
"The commission , chaired by retired Judge Ian Farlam , is investigating the deaths of 44 people during the wage-related strike at Lonmin 's platinum mining operations at Marikana in August 2012 .",NoTag,0
"On August 16 , 2012 , 34 people , mostly mineworkers , were shot dead in a clash with police who were trying to disarm and disperse them .","On August 16, 2012, <cause>34 mineworkers were shot dead</cause> <trigger>in a clash</trigger> <effect>with police trying to disarm them</effect>.",1
"Sonia Gandhi was speaking at a function after flagging off 12 new trains , along with Railway Minister Mamata Banerjee , through videoconferencing at Kanpur railway station .",NoTag,0
"Claiming that the dozen new trains would prove to be a boon for UP , Sonia said later at a public rally organised adjacent to the railway station that it was after a long gap that the Railway ministry had done so much in one go for the state .",NoTag,0
